name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Sulfitobacter sp. THAF37	2587855	S	818	1573	2391	0.13643
Sulfitobacter sp. D7	1968541	S	169	178	347	0.01980
Sulfitobacter alexandrii	1917485	S	41	116	157	0.00896
Sulfitobacter mediterraneus	83219	S	28	22	50	0.00285
Dinoroseobacter shibae	215813	S	141	436	577	0.03292
Salipiger abyssi	1250539	S	131	145	276	0.01575
Roseovarius sp. THAF27	2587850	S	43	57	100	0.00571
Roseovarius sp. THAF9	2587847	S	16	7	23	0.00131
Roseovarius indicus	540747	S	30	57	87	0.00496
Roseovarius mucosus	215743	S	22	158	180	0.01027
Pseudosulfitobacter pseudonitzschiae	1402135	S	112	62	174	0.00993
Ruegeria sp. THAF33	2587853	S	27	9	36	0.00205
Celeribacter baekdonensis	875171	S	12	25	37	0.00211
Phaeobacter gallaeciensis	60890	S	13	24	37	0.00211
Octadecabacter sp. SW4	2602067	S	12	20	32	0.00183
Leisingera sp. NJS204	2508307	S	12	10	22	0.00126
Yoonia vestfoldensis	245188	S	124	1250	1374	0.07840
Novosphingobium resinovorum	158500	S	189	166	355	0.02026
Novosphingobium sp. EMRT-2	2571749	S	30	28	58	0.00331
Novosphingobium pentaromativorans	205844	S	39	12	51	0.00291
Sphingobium cloacae	120107	S	87	410	497	0.02836
Sphingobium sp. TKS	1315974	S	28	128	156	0.00890
Sphingobium baderi	1332080	S	82	280	362	0.02066
Sphingomonas sanxanigenens	397260	S	125	199	324	0.01849
Sphingomonas sp. IC081	304378	S	50	76	126	0.00719
Sphingopyxis sp. FD7	1914525	S	16	29	45	0.00257
Sphingopyxis sp. 113P3	292913	S	13	14	27	0.00154
Sphingopyxis lindanitolerans	2054227	S	22	613	635	0.03623
Tardibacter chloracetimidivorans	1921510	S	14	70	84	0.00479
Porphyrobacter sp. YT40	2547601	S	238	209	447	0.02550
Croceicoccus marinus	450378	S	130	129	259	0.01478
Aurantiacibacter atlanticus	1648404	S	117	734	851	0.04856
Beijerinckiaceae bacterium RH AL1	2572036	S	157	6	163	0.00930
Roseibium aggregatum	187304	S	33	2	35	0.00200
Martelella mediterranea	293089	S	28	203	231	0.01318
Shinella sp. PSBB067	2715959	S	13	3	16	0.00091
Pseudoalteromonas shioyasakiensis	1190813	S	440	0	440	0.02511
Pseudoalteromonas arctica	394751	S	292	137	429	0.02448
Pseudoalteromonas sp. NC201	1514074	S	120	0	120	0.00685
Pseudoalteromonas carrageenovora	227	S	40	0	40	0.00228
Salinimonas iocasae	2572577	S	563	502	1065	0.06077
Alteromonas sp. RKMC-009	2267264	S	79	0	79	0.00451
Shewanella aestuarii	1028752	S	42	90	132	0.00753
Shewanella sp. ANA-3	94122	S	30	137	167	0.00953
Marinobacter sp. NP-4(2019)	2488665	S	1265	0	1265	0.07218
Marinobacter sp. JH2	2547598	S	183	0	183	0.01044
Pseudomonas putida	303	S	34	43	77	0.00439
Stutzerimonas stutzeri	316	S	39	27	66	0.00377
Acinetobacter sp. 10FS3-1	2563897	S	27	67	94	0.00536
Acinetobacter sp. WCHA45	2004644	S	25	261	286	0.01632
Acinetobacter sp. WCHA55	2004646	S	15	185	200	0.01141
Acinetobacter piscicola	2006115	S	63	266	329	0.01877
Halomonas ventosae	229007	S	96	370	466	0.02659
Halomonas sulfidaeris	115553	S	73	36	109	0.00622
Proteus sp. ZN5	2697019	S	52	1106	1158	0.06607
Vibrio rumoiensis	76258	S	14	88	102	0.00582
Stenotrophomonas rhizophila	216778	S	18	52	70	0.00399
